autor,titulo,poema,numero_total_estrofas,versos_por_estrofa,distribucion_silabas_estrofas,entropia_lexica_sust_adj
damaso alonso,a los que van a nacer,"
¡Cuán cerca todavía
de las manos de Dios! ¿Sentís su aliento
rugir entre los cedros del Levante?
¿Hay en vuestras pupilas rabos de oro,
vedijitas, aún, incandescentes,
de la gran lumbrarada creadora?
¿O fraguasteis, tal vez, en su sonrisa
-sonrisillas de Dios, niños dormidos-
y juerga en vuestras salas,
niño eternal, gran inventor de juegos?
Oh, vosotros le veis, seres profundos,
y saltáis en el vientre de la madre.

¿Qué peces de colores
os surcan aguas del dorado sueño?
¿Qué divinos esquifes
-juguetes sin engaño-
cruzan el día albar de vuestro cauce?
¿De qué extraña ladera
son esas pedrezuelas diminutas
que bullen al manar de vuestras aguas?
Oh fuentes silenciosas.
Oh soterradas fuentes
de los enormes ríos de la vida.

Seréis torrente en furia
que va a rodar al páramo. Seréis
indagación y grito sin respuesta.
Ay, guardad esta luz estremecida.
Ay, refrenad el agua,
volved al centro exacto.
Ay de vosotros.

… Ay de estos cieguecitos
de leche no cuajada,
de tierna pulpa vegetal, dormida.
Ay, copos de manteca,
que hacia el mercado vais –de sus ordeños
modelados por Dios, aún en su música,
con las gotas aún de su rocío-
entre las verdes hojas de los úteros.
",4,"[12, 11, 7, 8]","{1: [6, 12, 11, 11, 12, 10, 13, 15, 9, 13, 13, 11], 2: [7, 10, 7, 9, 11, 8, 10, 11, 7, 7, 9], 3: [8, 11, 11, 11, 6, 7, 6], 4: [9, 7, 12, 7, 13, 13, 10, 12]}",5.998269830741818
damaso alonso,a un río le llamaban carlos,"
Yo me senté en la orilla;
quería preguntarte, preguntarme tu secreto;
convencerme de que los ríos resbalan hacia un anhelo y viven;
y que cada uno nace y muere distinto (lo mismo que a ti te llaman Carlos).

Quería preguntarte, mi alma quería preguntarte
por qué anhelas, hacia qué resbalas, para qué vives.
Dímelo, río,
y dime, di, por qué te llaman Carlos.

Ah, loco, yo, loco, quería saber qué eras, quién eras
(genero, especie)
y qué eran, qué significaban «fluir», «fluido», «fluente»;
qué instante era tu instante
cuál de tus mil reflejos, tu reflejo absoluto
yo quería indagar el último recinto de tu vida
tu unicidad, esa alma de agua única,
por la que te conocen por Carlos.

Carlos es una tristeza, muy mansa y gris, que fluye
entre edificios nobles, a Minerva sagrados
y entre hangares que anuncios y consignas coronan.
Y el río fluye y fluye, indiferente.
A veces, suburbana, verde, una sonrisilla
de hierba se distiende, pegada a la ribera.
Yo me he sentado allí, sobre la hierba quemada del invierno para pensar por qué los ríos
siempre anhelan futuro, como tú lento y gris.
Y para preguntarte por qué te llaman Carlos.

Y tu fluías, fluías, sin cesar, indiferente
y no escuchabas a tu amante extático
que te miraba preguntándote
como miramos a nuestra primera enamorada para saber si le fluye un alma por los ojos,
y si en su sima el mundo será todo luz blanca
o si acaso su sonreír es sólo eso: una boca amarga que besa.
Así te preguntaba: como le preguntamos a Dios en la sombra de los quince años,
entre fiebres oscuras y los días—qué verano— tan lentos.
Yo quería que me revelaras el secreto de la vida
y de tu vida, y por qué te llamaban Carlos.

Yo no sé por qué me he puesto tan triste, contemplando
el fluir de este río
Un río es agua, lágrimas: mas no sé quién las llora.
El río Carlos es una tristeza gris, mas no sé quién la llora.
Pero sé que la tristeza es gris y fluye.
Porque sólo fluye en el mundo la tristeza.
Todo lo que fluye es lágrimas.
Todo lo que fluye es tristeza, y no sabemos de dónde viene la tristeza.
Como yo no sé quién te llora, río Carlos,
como yo no sé por qué eres una tristeza
ni por qué te llaman Carlos.

Era bien de mañana cuando yo me he sentado a contemplar el misterio fluyente de este río,
y he pasado muchas horas preguntándome, preguntándote.
Preguntando a este río, gris lo mismo que un dios;
preguntándome, como se le pregunta a un dios triste:
¿qué buscan los ríos?, ¿qué es un río?
Dime, dime qué eres, qué buscas,
río, y por qué te llaman Carlos.

Y ahora me fluye dentro una tristeza,
un río de tristeza gris,
con lentos puentes grises, como estructuras funerales grises.
Tengo frío en el alma y en los pies.
Y el sol se pone.
Ha debido pasar mucho tiempo.
Ha debido pasar el tiempo lento, lento, minutos, siglos, eras.
Ha debido pasar toda la pena del mundo, como un tiempo lentísimo.
Han debido pasar todas las lágrimas del mundo, como un río indiferente.
Ha debido pasar mucho tiempo, amigos míos, mucho tiempo
desde que yo me senté aquí en la orilla, a orillas
de esta tristeza, de este
río al que le llamaban Dámaso, digo, Carlos.
",8,"[4, 4, 8, 9, 10, 11, 7, 13]","{1: [8, 14, 19, 25], 2: [15, 18, 4, 12], 3: [15, 6, 16, 9, 16, 17, 12, 11], 4: [15, 14, 16, 13, 15, 15, 26, 14, 15], 5: [15, 14, 10, 30, 16, 19, 25, 19, 17, 15], 6: [16, 6, 15, 17, 13, 14, 11, 24, 13, 12, 9], 7: [29, 19, 16, 17, 10, 10, 10], 8: [12, 7, 19, 12, 6, 10, 22, 23, 24, 18, 15, 9, 15]}",5.776152609746216
damaso alonso,adiós al poeta rafael melero,"
        no hay que llorarte, melero.
        fuera llantos. lo que quiero
        es patear,
        gritar que está muy mal hecho
        ¡no hay derecho, no hay derecho!
        y no llorar.

        juntó tu esencia secreta
        la vida, y creó un poeta:
        un corazón,
        que en ensueño se doblaba
        y en clara estela dejaba
        su sazón...

        no se forja así un poeta
        para hacerle la peseta,
        y como en un
        juego estúpido y malvado,
        romper lo más delicado
        al tuntún.

        ¿qué bestia gris burriciega
        trota idiota, y te nos siega
        al trompicón?
        ¿qué negro toro marrajo
        te metió ese golpe bajo,
        a traición?

        no lloro por ti, melero
    ",5,"[6, 6, 6, 6, 1]","{1: [9, 9, 4, 9, 10, 5], 2: [9, 8, 5, 9, 10, 4], 3: [8, 9, 5, 10, 8, 3], 4: [8, 9, 5, 8, 8, 4], 5: [8]}",4.7068905956085185
damaso alonso,amor,"
¡Primavera feroz! Va mi ternura
por las más hondas venas derramada,
fresco hontanar, y furia desvelada,
que a extenuante pasmo se apresura.

¡Oh qué acezar, qué hervir, oh, qué premura
de hallar, en la colina clausurada,
la llaga roja de la cueva helada,
y su cura más dulce, en la locura!

¡Monstruo fugaz, espanto de mi vida,
rayo sin luz, oh tú, mi primavera,
mi alimaña feroz, mi arcángel fuerte!

¿Hacia qué hondón sombrío me convida,
desplegada y astral, tu cabellera?
¡Amor. amor, principio de la muerte!
",4,"[4, 4, 3, 3]","{1: [12, 11, 13, 12], 2: [14, 13, 12, 12], 3: [12, 12, 13], 4: [11, 13, 12]}",5.072140159802109
damaso alonso,burla,"
por las praderas hondas,
avizor y azoradas
—¡oh ciervas en huida!—,
las ideas se escapan

con tan ligeros pies,
que si se abate el rayo
raptor del alto cielo,
no encuentra más que campo:

paréntesis de cauce,
asomos de colina,
árbol agudo, huella
de pie veloz: sonrisa.
",3,"[4, 4, 4]","{1: [8, 6, 6, 6], 2: [7, 8, 7, 8], 3: [7, 6, 6, 8]}",4.368522527728206
damaso alonso,calle del arrabal,"
Se me quedó en lo hondo
una visión tan clara,
que tengo que entornar los ojos cuando
intento recordarla.

A un lado, hay un calvero de solares
en frente, están las casas alineadas
porque esperan que de un momento a otro
la Primavera pasará.

Las sábanas,
aún goteantes, penden
de todas las ventanas,
el viento juega con el sol en ellas
y ellas ríen del juego y de la gracia.

Y hay las niñas bonitas
que se peinan al aire libre.

Cantan
los chicos de una escuela la lección.
Las once dan.

Por el arroyo pasa
un viejo cojitranco
que empuja su carrito de naranjas.
",6,"[4, 4, 5, 2, 3, 3]","{1: [8, 6, 11, 7], 2: [13, 11, 13, 8], 3: [5, 6, 8, 10, 11], 4: [8, 9], 5: [2, 12, 4], 6: [6, 7, 13]}",4.857980995127571
damaso alonso,cancioncilla,"
Otros querrán mausoleos
donde cuelguen los trofeos,
donde nadie ha de llorar,

y yo no los quiero, no
(que lo digo en un cantar)
porque yo

morir quisiera en el viento,
como la gente de mar
en el mar.

Me podrían enterrar
en la ancha fosa del viento.

Oh, qué dulce descansar
ir sepultado en el viento
como un capitán del viento
como un capitán del mar,
muerto en medio de la mar.
",5,"[3, 3, 3, 2, 5]","{1: [6, 8, 9], 2: [7, 9, 3], 3: [9, 7, 4], 4: [6, 9], 5: [7, 9, 9, 9, 9]}",3.3005590923909547
damaso alonso,cómo era,"
La puerta, franca.
Vino queda y suave.
Ni materia ni espíritu. Traía
una ligera inclinación de nave
y una luz matinal de claro día.

No era de ritmo, no era de armonía
ni de color. El corazón la sabe,
pero decir cómo era no podría
porque no es forma, ni en la forma cabe.

Lengua, barro mortal, cincel inepto,
deja la flor intacta del concepto
en esta clara noche de mi boda,

y canta mansamente, humildemente,
la sensación, la sombra, el accidente,
mientras ella me llena el alma toda.
",4,"[5, 4, 3, 3]","{1: [5, 6, 9, 11, 10], 2: [11, 12, 10, 13], 3: [11, 11, 11], 4: [12, 12, 11]}",4.789015477886192
damaso alonso,de profundis,"
Si vais por la carretera del arrabal, apartaos, no os inficione mi pestilencia.
El dedo de mi Dios me ha señalado: odre de putrefacción quiso que fuera este mi cuerpo,
y una ramera de solicitaciones mi alma,
no una ramera fastuosa de las que hacen languidecer de amor al príncipe
sobre el cabezo del valle, en el palacete de verano,
sino una loba del arrabal, acoceada por los trajinantes,
que ya ha olvidado las palabras de amor,
y sólo puede pedir unas monedas de cobre en la cantonada.
Yo soy la piltrafa que el tablajero arroja al perro del mendigo,
y el perro del mendigo arroja al muladar.
Pero desde la mina de las maldades, desde el pozo de la miseria,
mi corazón se ha levantado hasta mi Dios,
y le ha dicho: Oh Señor, tú que has hecho también la podredumbre,
mírame,
Yo soy el orujo exprimido en el año de la mala cosecha,
yo soy el excremento del can sarnoso,
el zapato sin suela en el carnero del camposanto,
yo soy el montoncito de estiércol a medio hacer, que nadie compra
y donde casi ni escarban las gallinas.
Pero te amo,
pero te amo frenéticamente.
¡Déjame, déjame fermentar en tu amor,
deja que me pudra hasta la entraña,
que se me aniquilen hasta las últimas briznas de mi ser,
para que un día sea mantillo de tus huertos!
",1,[25],"{1: [26, 28, 15, 23, 19, 17, 14, 20, 21, 15, 22, 15, 21, 3, 19, 12, 17, 21, 14, 4, 10, 13, 12, 18, 14]}",5.6359051680701135
damaso alonso,destrucción inminente,"
¿Te quebraré, varita de avellano,
te quebraré quizás? ¡Oh tierna vida,
ciega pasión en verde hervor nacida,
tú, frágil ser que oprimo con mi mano!

Un chispazo fugaz, sólo un liviano
crujir en dulce pulpa estremecida,
y aprenderás, oh rama desvalida,
cuánto pudo la muerte en un verano.

Mas, no; te dejaré… Juega en el viento,
hasta que pierdas, al otoño agudo,
tu verde frenesí, hoja tras hoja.

Dame otoño también, Señor, que siento
no sé qué hondo crujir, qué espanto mudo.
Detén, oh Dios, tu llamarada roja.
",4,"[4, 4, 3, 3]","{1: [11, 12, 12, 11], 2: [12, 12, 12, 11], 3: [13, 11, 10], 4: [12, 14, 12]}",4.9578544455163955
